Agency,Mode/Type of Service Status,UZA Name,Mode,TOS,Year,UPT,VRM,Organization Type,city,state,UZA SQ Miles,UZA Population,Service Area Population,Service Area SQ Miles,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY,rank,score,tci,jobs,trips/week,routes,transit shed (mi2),%transit,population
Bi-State Development Agency of the Missouri-Illinois Metropolitan District,Active,"St. Louis, MO--IL",LR,DO,2007,23754462,6597050,Independent Public Agency or Authority of Transit Service,Saint Louis,MO,910.37,2156323,1563103,558,6.62973014538118,7843139.0,102561571.0,14.8942873237702,1.13900328014932,339,7.0,1.5,163458,1809,6,40,0.071,298018
Utah Transit Authority,Active,"Salt Lake City, UT",LR,DO,2007,12385605,2839300,Independent Public Agency or Authority of Transit Service,Salt Lake City,UT,300.42,1178533,2539272,607,4.42914567813592,10330916.0,98389429.0,8.90907591909617,0.93545532170743,173,7.8,1.6,195858,2682,8,36,0.065,204659
Denver Regional Transportation District,Active,"Denver--Aurora, CO",LR,DO,2007,18802294,8675623,Independent Public Agency or Authority of Transit Service,Denver,CO,644.54,2686147,3098079,2342,6.34760577371531,11981942.0,161388757.0,12.6675213522257,0.940471374509256,279,7.3,1.7,232676,2264,8,42,0.062,710800
San Francisco Bay Area Rapid Transit District,Active,"San Francisco--Oakland, CA",HR,DO,2007,112444082,64602871,Independent Public Agency or Authority of Transit Service,Oakland,CA,513.8,3515933,867725,80,13.6762402840493,181243024.0,754188006.0,15.3779959277636,3.69556988818987,148,7.9,3.4,349171,4379,15,41,0.208,437832
Santa Clara Valley Transportation Authority,Active,"San Jose, CA",LR,DO,2007,10302688,3348703,Independent Public Agency or Authority of Transit Service,San Jose,CA,285.48,1837446,1894783,346,5.35019469324392,4617615.0,122428199.0,29.5163682881098,1.1132666008809,348,7.0,1.5,150209,2424,6,33,0.037,982926
City and County of San Francisco,Active,"San Francisco--Oakland, CA",CC,DO,2007,7321244,488924,"City, County or Local Government Unit or Department of Transportation",San Francisco,CA,513.8,3515933,831703,49,1.32572787583782,18813552.0,74057382.0,25.3058289865522,6.42869781086248,3,9.3,7.4,596446,9616,20,35,0.312,851036
City and County of San Francisco,Active,"San Francisco--Oakland, CA",LR,DO,2007,41868050,5566583,"City, County or Local Government Unit or Department of Transportation",San Francisco,CA,513.8,3515933,831703,49,2.42455055149388,11056697.0,215714649.0,9.26557178268749,0.474917304911107,3,9.3,7.4,596446,9616,20,35,0.312,851036
Sacramento Regional Transit District,Active,"Sacramento, CA",LR,DO,2007,14850000,3953657,Independent Public Agency or Authority of Transit Service,Sacramento,CA,467.58,1946618,1360100,291,5.70958667430939,6792973.0,83048077.0,13.5237190844369,1.10618164704963,643,6.0,1.7,131535,1135,9,26,0.027,516615
North County Transit District,Inactive,"San Diego, CA",CR,PT,2007,1615655,1271070,Independent Public Agency or Authority of Transit Service,Oceanside,CA,674.72,3070300,1043734,340,26.4501051988362,2392723.0,33213554.0,57.6572149736482,4.15365800309694,567,6.2,0.9,39508,992,5,24,0.024,173925
Peninsula Corridor Joint Powers Board,Active,"San Francisco--Oakland, CA",CR,PT,2007,11375781,6383948,Independent Public Agency or Authority of Transit Service,San Carlos,CA,513.8,3515933,3632769,425,19.011853625924,43330092.0,172893335.0,24.6563712009328,6.1793176268048,670,5.9,1.2,144392,837,5,28,0.051,28846
Southern California Regional Rail Authority,Active,"Los Angeles--Long Beach--Anaheim, CA",CR,PT,2007,11146838,10302992,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,8341002,2291,41.6864152547224,34327384.0,278333004.0,75.1559927029295,9.26914373911137,195,7.7,2.3,424333,4140,10,52,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,Active,"Los Angeles--Long Beach--Anaheim, CA",HR,DO,2007,42222633,5982636,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,10347626,4629,4.97752212860611,11040864.0,192351180.0,7.16259817326008,0.411129644838223,195,7.7,2.3,424333,4140,10,52,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,Active,"Los Angeles--Long Beach--Anaheim, CA",LR,DO,2007,42221236,8682047,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,10347626,4629,6.57141451138444,13161651.0,497457985.0,13.5962145433731,0.35972611986719,195,7.7,2.3,424333,4140,10,52,0.085,3880512
Altamont Corridor Express,Active,"Stockton, CA",CR,PT,2007,752286,172314,Independent Public Agency or Authority of Transit Service,Stockton,CA,92.46,414847,4393972,28,51.5258673376916,3829286.0,36150511.0,76.1868564251061,8.07018364671716,1169,4.6,1.3,40460,722,7,17,0.014,312413
King County,Inactive,"Seattle--Tacoma, WA",LR,DO,2008,413937,56904,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,982.52,3544011,2347800,2134,0.90527380680433,288470.0,2281393.0,4.37943651102925,0.553756433168949,95,8.3,4.9,403896,4783,19,38,0.214,734731
Tri-County Metropolitan Transportation District of Oregon,Active,"Portland, OR--WA",LR,DO,2008,35772900,6940264,Independent Public Agency or Authority of Transit Service,Portland,OR,519.3,2104238,1512100,376,5.17189963054286,19592787.0,210004456.0,9.62637821026598,0.898112266032977,127,8.1,2.6,218492,3517,10,44,0.109,641885
City of Seattle,Active,"Seattle--Tacoma, WA",MG,PT,2008,1559778,184604,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,982.52,3544011,753655,83,0.899999859483264,6214624.0,6327832.0,2.96388766717393,2.91086227158419,95,8.3,4.9,403896,4783,19,38,0.214,734731
Central Puget Sound Regional Transit Authority,Active,"Seattle--Tacoma, WA",CR,PT,2008,2668623,1039432,Independent Public Agency or Authority of Transit Service,Seattle,WA,982.52,3544011,3349000,1089,24.736999153069,5005338.0,76112396.0,43.350336123972,2.85082451896653,95,8.3,4.9,403896,4783,19,38,0.214,734731
Central Puget Sound Regional Transit Authority,Active,"Seattle--Tacoma, WA",LR,DO,2008,930632,94189,Independent Public Agency or Authority of Transit Service,Seattle,WA,982.52,3544011,3349000,1089,6.89964679217103,32701665.0,238812404.0,8.88844042063662,1.21713443748976,95,8.3,4.9,403896,4783,19,38,0.214,734731
Alaska Railroad Corporation,Active,"Anchorage, AK",AR,DO,2008,137230,131038,State Government Unit or Department of Transportation,Anchorage,AK,91.69,249252,352701,266,123.89750436935,36125687.0,60628460.0,268.941064790582,160.249505398476,1459,3.9,0.4,51758,750,3,12,0.015,290674
Massachusetts Bay Transportation Authority,Inactive,"Boston, MA--NH",CR,DO,2008,39721400,23167917,Independent Public Agency or Authority of Transit Service,Boston,MA,1655.89,4382009,3109308,3244,20.3731414223235,123020901.0,227513879.0,5.86136718212808,3.16934806354045,13,9.1,7.1,732061,5983,14,68,0.306,665942
Massachusetts Bay Transportation Authority,Active,"Boston, MA--NH",HR,DO,2008,150408300,21239009,Independent Public Agency or Authority of Transit Service,Boston,MA,1655.89,4382009,3109308,3244,3.27426719680125,128794748.0,377944589.0,4.49772143324364,1.53271912187322,13,9.1,7.1,732061,5983,14,68,0.306,665942
Massachusetts Bay Transportation Authority,Active,"Boston, MA--NH",LR,DO,2008,80337200,6201183,Independent Public Agency or Authority of Transit Service,Boston,MA,1655.89,4382009,3109308,3244,2.32944391603797,47726099.0,197051081.0,5.32054511351991,1.28864486067863,13,9.1,7.1,732061,5983,14,68,0.306,665942
Connecticut Department of Transportation,Active,"Hartford, CT",CR,PT,2008,538313,693622,State Government Unit or Department of Transportation,Newington,CT,535.93,977158,448608,171,30.1349682189064,1261149.0,26905800.0,134.766863514102,6.3168943184721,629,6.0,1.1,0,2451,6,35,0.013,30458
Northern New England Passenger Rail Authority,Active,"Portland, ME",CR,PT,2008,357902,1351333,Independent Public Agency or Authority of Transit Service,Portland,ME,123.88,205356,1431087,3706,85.5557478019471,10425888.0,26372652.0,50.9837146900301,20.155367734053,395,6.8,2.2,66841,1506,9,23,0.026,68352
Niagara Frontier Transportation Authority,Active,"Buffalo, NY",LR,DO,2008,6868958,836651,Independent Public Agency or Authority of Transit Service,Buffalo,NY,340.5,948864,809275,336,2.63229320215109,3225831.0,29843884.0,12.0426570940541,1.30169305631832,286,7.3,2.2,132530,1661,8,39,0.092,276688
Port Authority Transit Corporation,Active,"Philadelphia, PA--NJ--DE--MD",HR,DO,2008,10337870,4236947,Independent Public Agency or Authority of Transit Service,Camden,NJ,1898.19,5696125,159726,16,8.62154375756491,12879663.0,59090442.0,10.8383393711976,2.36238135738868,168,7.9,2.6,375747,2469,1,54,0.122,71799
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",Active,"New York--Jersey City--Newark, NY--NJ",CR,DO,2008,81466483,58823421,"Subsidiary Unit of a Transit Agency, Reporting Separately",New York,NY,3248.12,19426449,6503894,527,17.333331680888,558352169.0,1606093033.0,24.2004341812688,8.41318942191887,1,9.6,8.7,1296548,13960,19,44,0.544,8621501
New Jersey Transit Corporation,Active,"New York--Jersey City--Newark, NY--NJ",CR,DO,2008,85733467,70336606,Other Publicly-Owned or Privately Chartered Corporation,Newark,NJ,3248.12,19426449,10594013,5325,24.7227684879892,379678065.0,1315131399.0,24.4614111990785,7.062002533205,32,8.8,4.8,282108,5486,2,50,0.212,307355
New Jersey Transit Corporation,Active,"New York--Jersey City--Newark, NY--NJ",LR,DO,2008,6316516,617117,Other Publicly-Owned or Privately Chartered Corporation,Newark,NJ,3248.12,19426449,10594013,5325,2.47013158235255,4137375.0,30398153.0,7.28412821419705,0.991414510289936,32,8.8,4.8,282108,5486,2,50,0.212,307355
New Jersey Transit Corporation,Active,"New York--Jersey City--Newark, NY--NJ",LR,PT,2008,15726350,3478324,Other Publicly-Owned or Privately Chartered Corporation,Newark,NJ,3248.12,19426449,10594013,5325,4.05279649171965,7191546.0,112937393.0,8.43414812540122,0.53706361200171,32,8.8,4.8,282108,5486,2,50,0.212,307355
Port Authority Trans-Hudson Corporation,Active,"New York--Jersey City--Newark, NY--NJ",HR,DO,2008,83654243,12194371,Independent Public Agency or Authority of Transit Service,New York,NY,3248.12,19426449,3154040,226,4.87044789168203,134086782.0,552255525.0,10.0211749072654,2.43312567162522,1,9.6,8.7,1296548,13960,19,44,0.544,8621501
Staten Island Rapid Transit Operating Authority,Active,"New York--Jersey City--Newark, NY--NJ",HR,DO,2008,7860630,2371980,"Subsidiary Unit of a Transit Agency, Reporting Separately",New York,NY,3248.12,19426449,490687,59,5.88013126711032,3392049.0,70411260.0,13.5547055701508,0.65299535151799,1,9.6,8.7,1296548,13960,19,44,0.544,8621501
MTA Long Island Rail Road,Active,"New York--Jersey City--Newark, NY--NJ",CR,DO,2008,100092000,64794193,"Subsidiary Unit of a Transit Agency, Reporting Separately",New York,NY,3248.12,19426449,11170342,2967,24.2579914100085,568950760.0,2135218700.0,25.4690847358046,6.7864969133796,1,9.6,8.7,1296548,13960,19,44,0.544,8621501
Cambria County Transit Authority,Active,"Johnstown, PA",IP,DO,2008,101247,4010,Independent Public Agency or Authority of Transit Service,Johnstown,PA,34.7,61521,133472,688,0.170009409201208,0.0,624492.0,30.9261625315703,0.0,378,6.9,3.0,13224,1171,8,16,0.057,18422
Southeastern Pennsylvania Transportation Authority,Active,"Philadelphia, PA--NJ--DE--MD",CR,DO,2008,36167848,16635257,Independent Public Agency or Authority of Transit Service,Philadelphia,PA,1898.19,5696125,3475337,844,13.6451616803868,74014513.0,316404808.0,16.5626148935428,3.87438447317185,16,9.1,4.6,367544,5229,12,54,0.23,1593208
Southeastern Pennsylvania Transportation Authority,Active,"Philadelphia, PA--NJ--DE--MD",HR,DO,2008,90999511,16588941,Independent Public Agency or Authority of Transit Service,Philadelphia,PA,1898.19,5696125,3475337,844,4.17585473447432,51017856.0,240404145.0,4.14658442381391,0.879975871572353,16,9.1,4.6,367544,5229,12,54,0.23,1593208
Southeastern Pennsylvania Transportation Authority,Inactive,"Philadelphia, PA--NJ--DE--MD",LR,DO,2008,32453624,3798843,Independent Public Agency or Authority of Transit Service,Philadelphia,PA,1898.19,5696125,3475337,844,2.38885637336494,25790879.0,62804028.0,2.13287140384607,0.875877392755033,16,9.1,4.6,367544,5229,12,54,0.23,1593208
Pittsburgh Regional Transit,Active,"Pittsburgh, PA",IP,DO,2008,719785,18017,Independent Public Agency or Authority of Transit Service,Pittsburgh,PA,906.64,1745039,1238090,775,0.116856902122191,189701.0,1372961.0,8.32243848918901,1.14990513484188,125,8.1,3.9,260426,4552,18,56,0.162,303843
Pittsburgh Regional Transit,Inactive,"Pittsburgh, PA",IP,PT,2008,422793,18514,Independent Public Agency or Authority of Transit Service,Pittsburgh,PA,906.64,1745039,1238090,775,0.149999334409688,978705.0,140974.0,0.268088367573201,1.86119018957914,125,8.1,3.9,260426,4552,18,56,0.162,303843
Pittsburgh Regional Transit,Active,"Pittsburgh, PA",LR,DO,2008,7303281,1960307,Independent Public Agency or Authority of Transit Service,Pittsburgh,PA,906.64,1745039,1238090,775,3.86183270680748,2997510.0,78494302.0,24.1981513120049,0.924069629146431,125,8.1,3.9,260426,4552,18,56,0.162,303843
Washington Metropolitan Area Transit Authority,Active,"Washington--Arlington, DC--VA--MD",HR,DO,2008,291492804,73101256,Independent Public Agency or Authority of Transit Service,Washington,DC,1294.51,5174759,4645915,1108,4.64860634833801,231416666.0,1483819870.0,11.7044756343657,1.82543095920609,11,9.1,5.3,545507,7528,20,47,0.329,670587
Maryland Transit Administration,Active,"Baltimore, MD",CR,PT,2008,8068751,1025624,State Government Unit or Department of Transportation,Baltimore,MD,654.93,2212038,7811145,2560,27.7226052071806,21334830.0,158318593.0,46.8836941196747,6.31799225132868,96,8.3,3.5,255135,3787,12,53,0.148,584548
Maryland Transit Administration,Active,"Baltimore, MD",HR,DO,2008,13793369,1110820,State Government Unit or Department of Transportation,Baltimore,MD,654.93,2212038,7811145,2560,3.7869306614961,1254665.0,72377289.0,41.2149052300701,0.714463055814179,96,8.3,3.5,255135,3787,12,53,0.148,584548
Maryland Transit Administration,Active,"Baltimore, MD",LR,DO,2008,8120776,1453512,State Government Unit or Department of Transportation,Baltimore,MD,654.93,2212038,7811145,2560,4.48015089460818,2453871.0,39000686.0,11.3566060069565,0.714542460583807,96,8.3,3.5,255135,3787,12,53,0.148,584548
Pennsylvania Department of Transportation,Active,"Philadelphia, PA--NJ--DE--MD",CR,PT,2008,513970,2205323,State Government Unit or Department of Transportation,Harrisburg,PA,1898.19,5696125,3554425,2092,64.0720751642615,21643516.0,28334581.0,53.4360662477464,40.8174151158317,400,6.8,3.3,81287,1328,15,29,0.061,50055
Virginia Railway Express,Active,"Washington--Arlington, DC--VA--MD",CR,PT,2008,3806893,1870204,Independent Public Agency or Authority of Transit Service,Woodbridge,VA,1294.51,5174759,2415555,730,31.1655338448423,13940102.0,91445138.0,62.3666755328218,9.50731594202898,949,5.2,0.7,19953,518,5,10,0.031,42663
Chattanooga Area Regional Transportation Authority,Active,"Chattanooga, TN--GA",IP,DO,2008,385743,19059,"City, County or Local Government Unit or Department of Transportation",Chattanooga,TN,291.7,398569,184086,289,0.860048664408934,3396017.0,2620302.0,5.01634335401539,6.50138316425865,2003,2.8,0.5,29469,462,3,8,0.016,184149
City of Memphis,Inactive,"Memphis, TN--MS--AR",LR,DO,2008,1060410,412765,"City, County or Local Government Unit or Department of Transportation",Memphis,TN,491.27,1056190,627200,254,0.79474961207016,767616.0,4140170.0,3.58503456731968,0.664690071767021,1599,3.6,0.5,45900,501,3,21,0.01,627640
City of Charlotte North Carolina,Active,"Charlotte, NC--SC",LR,DO,2008,4982386,587191,"City, County or Local Government Unit or Department of Transportation",Charlotte,NC,657.61,1379873,1329749,675,4.85352835875846,6666028.0,58948961.0,11.5936234537138,1.3110225736449,1103,4.8,0.7,131798,1128,4,27,0.031,857940
Metropolitan Atlanta Rapid Transit Authority,Active,"Atlanta, GA",HR,DO,2008,86029961,24130814,Independent Public Agency or Authority of Transit Service,Atlanta,GA,2553.04,5100112,1742072,605,7.02406728567427,43621639.0,250901225.0,8.25454242718684,1.43513316791868,247,7.5,1.9,257838,2523,10,38,0.096,494513
County of Miami-Dade,Active,"Miami--Fort Lauderdale, FL",HR,DO,2008,19117746,6913611,"City, County or Local Government Unit or Department of Transportation",Miami,FL,1244.18,6077522,2701767,306,8.040946652485,14251496.0,134613928.0,10.1509192003321,1.07467174109841,67,8.5,2.7,293807,4935,11,42,0.084,441830
County of Miami-Dade,Active,"Miami--Fort Lauderdale, FL",MG,DO,2008,8635289,1139489,"City, County or Local Government Unit or Department of Transportation",Miami,FL,1244.18,6077522,2701767,306,1.09429489488554,0.0,38169816.0,5.83092289121068,0.0,67,8.5,2.7,293807,4935,11,42,0.084,441830
Jacksonville Transportation Authority,Active,"Jacksonville, FL",MG,DO,2008,511662,243125,Independent Public Agency or Authority of Transit Service,Jacksonville,FL,573.27,1247374,1264452,1807,0.950001168430998,0.0,8217779.0,27.434022039947,0.0,1728,3.4,0.4,38618,684,3,16,0.015,952608
Hillsborough Area Regional Transit Authority,Inactive,"Tampa--St. Petersburg, FL",LR,DO,2008,455940,80045,Independent Public Agency or Authority of Transit Service,Tampa,FL,968.94,2783045,1102787,418,1.57232762038334,568291.0,2542168.0,5.06449331519108,1.13214625098863,1032,5.0,0.7,146486,991,4,29,0.019,383344
South Florida Regional Transportation Authority,Active,"Miami--Fort Lauderdale, FL",CR,PT,2008,4302215,1043739,Independent Public Agency or Authority of Transit Service,Pompano Beach,FL,1244.18,6077522,133588,32,28.2399999250515,12384094.0,122731578.0,32.8519704906211,3.31489171141496,689,5.9,0.6,132676,973,3,41,0.02,110991
City of Kenosha,Inactive,"Kenosha, WI",LR,DO,2008,65759,19794,"City, County or Local Government Unit or Department of Transportation",Kenosha,WI,56.17,125865,99894,27,1.11178739980523,26698.0,285855.0,5.35349089819462,0.5,895,5.3,1.3,23740,599,7,17,0.013,94295
The Greater Cleveland Regional Transit Authority,Active,"Cleveland, OH",HR,DO,2008,7890708,1649437,Independent Public Agency or Authority of Transit Service,Cleveland,OH,713.81,1712178,1264817,458,7.12999986752457,4045712.0,39722855.0,11.4397876130865,1.1651248638527,216,7.6,1.4,153684,2368,6,40,0.083,370278
The Greater Cleveland Regional Transit Authority,Active,"Cleveland, OH",LR,DO,2008,4144499,796912,Independent Public Agency or Authority of Transit Service,Cleveland,OH,713.81,1712178,1264817,458,4.76022672867018,1040707.0,12985416.0,19.6120843420987,1.57179665706609,216,7.6,1.4,153684,2368,6,40,0.083,370278
Metro Transit,Active,"Minneapolis--St. Paul, MN",LR,DO,2008,10221683,1969924,"Subsidiary Unit of a Transit Agency, Reporting Separately",Minneapolis,MN,1014.79,2914866,1671878,465,3.58102305295925,13117881.0,93979097.0,6.36891965806475,0.888992689225925,116,8.1,2.9,329428,4192,12,50,0.11,426877
Chicago Transit Authority,Active,"Chicago, IL--IN",HR,DO,2008,198137245,66128063,Independent Public Agency or Authority of Transit Service,Chicago,IL,2337.89,8671746,3224925,283,5.8484563608786,154677879.0,725296800.0,6.17551691765334,1.31699996270663,9,9.2,3.9,545242,6082,11,52,0.251,2723878
Northern Indiana Commuter Transportation District,Active,"Chicago, IL--IN",CR,DO,2008,4180380,3485098,Independent Public Agency or Authority of Transit Service,Chesterton,IN,2337.89,8671746,1060840,1970,32.7094337571291,9450519.0,61575115.0,40.3285716344126,6.1896097550752,3280,0.0,0.0,51,3,0,0,0.01,12198
Northeast Illinois Regional Commuter Railroad Corporation,Active,"Chicago, IL--IN",CR,DO,2008,77167066,34952859,Independent Public Agency or Authority of Transit Service,Chicago,IL,2337.89,8671746,8615017,3947,21.5437438388588,63629147.0,538808051.0,39.2077654519985,4.63013992990007,9,9.2,3.9,545242,6082,11,52,0.251,2723878
Detroit Transportation Corporation,Active,"Detroit, MI",MG,DO,2008,2059714,544197,Independent Public Agency or Authority of Transit Service,Detroit,MI,1284.83,3776890,92477,3,1.37999953966751,226656.0,15417695.0,25.3473784064604,0.372632575757576,482,6.5,1.1,108498,1558,6,58,0.069,637041
Fort Worth Transportation Authority,Active,"Dallas--Fort Worth--Arlington, TX",CR,PT,2008,1163566,646403,Independent Public Agency or Authority of Transit Service,Fort Worth,TX,1746.9,5732354,927285,350,15.9407401160696,1812203.0,36897485.0,56.5743144305001,2.77862142457394,1481,3.9,0.6,27240,1142,2,8,0.006,911428
"Metropolitan Transit Authority of Harris County, Texas",Active,"Houston, TX",LR,DO,2008,11640213,890265,Independent Public Agency or Authority of Transit Service,Houston,TX,1752.69,5853575,4038849,1309,2.79437591907953,2533590.0,116651568.0,8.5330203699075,0.185331199997191,752,5.7,0.8,184921,1837,4,32,0.036,2482229
City of Galveston,Inactive,"Galveston--Texas City, TX",LR,DO,2008,15739,21145,"City, County or Local Government Unit or Department of Transportation",Galveston,TX,108.98,191863,50307,32,1.28996995461229,0.0,0.0,0.0,0.0,1296,4.3,0.9,21664,297,2,8,0.006,54099
New Orleans Regional Transit Authority,Inactive,"New Orleans, LA",LR,DO,2008,4708139,756815,Independent Public Agency or Authority of Transit Service,New Orleans,LA,270.27,963212,390144,75,2.30312519772091,4873722.0,19545920.0,3.65882796474662,0.912318803412724,316,7.1,1.4,83640,1666,6,23,0.06,380408
Rock Region Metropolitan Transit Authority,Inactive,"Little Rock, AR",LR,DO,2008,112578,38381,Independent Public Agency or Authority of Transit Service,North Little Rock,AR,267.82,461864,204618,111,1.76039741897639,72514.0,942933.0,6.91401231852178,0.531705528669893,1811,3.2,0.2,32779,302,2,9,0.014,60050
Dallas Area Rapid Transit,Active,"Dallas--Fort Worth--Arlington, TX",CR,PT,2008,1640283,600572,Independent Public Agency or Authority of Transit Service,Dallas,TX,1746.9,5732354,2530800,698,16.3165597818529,3579225.0,43525590.0,38.3109353462769,3.15041008208683,469,6.6,1.0,177968,2075,5,26,0.03,1330798
Dallas Area Rapid Transit,Active,"Dallas--Fort Worth--Arlington, TX",LR,DO,2008,23038555,5216190,Independent Public Agency or Authority of Transit Service,Dallas,TX,1746.9,5732354,2530800,698,7.41878460656612,14571402.0,230401742.0,11.2416384603209,0.710960046230889,469,6.6,1.0,177968,2075,5,26,0.03,1330798
Bi-State Development Agency of the Missouri-Illinois Metropolitan District,Active,"St. Louis, MO--IL",LR,DO,2008,22658347,6839014,Independent Public Agency or Authority of Transit Service,Saint Louis,MO,910.37,2156323,1563103,558,6.62973014538118,7843139.0,102561571.0,14.8942873237702,1.13900328014932,339,7.0,1.5,163458,1809,6,40,0.071,298018
Utah Transit Authority,Active,"Salt Lake City, UT",CR,DO,2008,1385818,1531190,Independent Public Agency or Authority of Transit Service,Salt Lake City,UT,300.42,1178533,2539272,607,28.8450655940395,4396324.0,58003120.0,15.522884317913,1.17655100063694,173,7.8,1.6,195858,2682,8,36,0.065,204659
Utah Transit Authority,Active,"Salt Lake City, UT",LR,DO,2008,13948710,2995970,Independent Public Agency or Authority of Transit Service,Salt Lake City,UT,300.42,1178533,2539272,607,4.42914567813592,10330916.0,98389429.0,8.90907591909617,0.93545532170743,173,7.8,1.6,195858,2682,8,36,0.065,204659
Denver Regional Transportation District,Active,"Denver--Aurora, CO",LR,DO,2008,20635063,8571527,Independent Public Agency or Authority of Transit Service,Denver,CO,644.54,2686147,3098079,2342,6.34760577371531,11981942.0,161388757.0,12.6675213522257,0.940471374509256,279,7.3,1.7,232676,2264,8,42,0.062,710800
San Francisco Bay Area Rapid Transit District,Active,"San Francisco--Oakland, CA",HR,DO,2008,117171225,69203707,Independent Public Agency or Authority of Transit Service,Oakland,CA,513.8,3515933,867725,80,13.6762402840493,181243024.0,754188006.0,15.3779959277636,3.69556988818987,148,7.9,3.4,349171,4379,15,41,0.208,437832
Santa Clara Valley Transportation Authority,Active,"San Jose, CA",LR,DO,2008,10797985,3385490,Independent Public Agency or Authority of Transit Service,San Jose,CA,285.48,1837446,1894783,346,5.35019469324392,4617615.0,122428199.0,29.5163682881098,1.1132666008809,348,7.0,1.5,150209,2424,6,33,0.037,982926
City and County of San Francisco,Active,"San Francisco--Oakland, CA",CC,DO,2008,7540847,491156,"City, County or Local Government Unit or Department of Transportation",San Francisco,CA,513.8,3515933,831703,49,1.32572787583782,18813552.0,74057382.0,25.3058289865522,6.42869781086248,3,9.3,7.4,596446,9616,20,35,0.312,851036
City and County of San Francisco,Active,"San Francisco--Oakland, CA",LR,DO,2008,46377988,4886191,"City, County or Local Government Unit or Department of Transportation",San Francisco,CA,513.8,3515933,831703,49,2.42455055149388,11056697.0,215714649.0,9.26557178268749,0.474917304911107,3,9.3,7.4,596446,9616,20,35,0.312,851036
Sacramento Regional Transit District,Active,"Sacramento, CA",LR,DO,2008,16868200,4192982,Independent Public Agency or Authority of Transit Service,Sacramento,CA,467.58,1946618,1360100,291,5.70958667430939,6792973.0,83048077.0,13.5237190844369,1.10618164704963,643,6.0,1.7,131535,1135,9,26,0.027,516615
San Diego Metropolitan Transit System,Active,"San Diego, CA",LR,DO,2008,35959745,7967936,Independent Public Agency or Authority of Transit Service,San Diego,CA,674.72,3070300,2269953,902,6.8940436414761,26664181.0,130286437.0,3.61431286507528,0.739698579868262,625,6.1,1.2,109389,1941,5,20,0.037,1384593
North County Transit District,Inactive,"San Diego, CA",CR,PT,2008,1698960,1347834,Independent Public Agency or Authority of Transit Service,Oceanside,CA,674.72,3070300,1043734,340,26.4501051988362,2392723.0,33213554.0,57.6572149736482,4.15365800309694,567,6.2,0.9,39508,992,5,24,0.024,173925
North County Transit District,Inactive,"San Diego, CA",LR,PT,2008,1900901,489640,Independent Public Agency or Authority of Transit Service,Oceanside,CA,674.72,3070300,1043734,340,8.68799482511143,2076377.0,12779915.0,6.03418212208204,0.980385000377729,567,6.2,0.9,39508,992,5,24,0.024,173925
Peninsula Corridor Joint Powers Board,Active,"San Francisco--Oakland, CA",CR,PT,2008,12766924,6800681,Independent Public Agency or Authority of Transit Service,San Carlos,CA,513.8,3515933,3632769,425,19.011853625924,43330092.0,172893335.0,24.6563712009328,6.1793176268048,670,5.9,1.2,144392,837,5,28,0.051,28846
Southern California Regional Rail Authority,Active,"Los Angeles--Long Beach--Anaheim, CA",CR,PT,2008,12161214,10512542,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,8341002,2291,41.6864152547224,34327384.0,278333004.0,75.1559927029295,9.26914373911137,195,7.7,2.3,424333,4140,10,52,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,Active,"Los Angeles--Long Beach--Anaheim, CA",HR,DO,2008,45457703,6076141,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,10347626,4629,4.97752212860611,11040864.0,192351180.0,7.16259817326008,0.411129644838223,195,7.7,2.3,424333,4140,10,52,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,Active,"Los Angeles--Long Beach--Anaheim, CA",LR,DO,2008,44983267,9038882,Independent Public Agency or Authority of Transit Service,Los Angeles,CA,1636.83,12237376,10347626,4629,6.57141451138444,13161651.0,497457985.0,13.5962145433731,0.35972611986719,195,7.7,2.3,424333,4140,10,52,0.085,3880512
Altamont Corridor Express,Active,"Stockton, CA",CR,PT,2008,864617,173582,Independent Public Agency or Authority of Transit Service,Stockton,CA,92.46,414847,4393972,28,51.5258673376916,3829286.0,36150511.0,76.1868564251061,8.07018364671716,1169,4.6,1.3,40460,722,7,17,0.014,312413
King County,Inactive,"Seattle--Tacoma, WA",LR,DO,2009,451204,60150,"City, County or Local Government Unit or Department of Transportation",Seattle,WA,982.52,3544011,2347800,2134,0.90527380680433,288470.0,2281393.0,4.37943651102925,0.553756433168949,95,8.3,4.9,403896,4783,19,38,0.214,734731
