Agency,Mode,Year,UPT,VRM,city,state,Service Area SQ Miles,Avg Cost Per Trip FY,Avg Fares Per Trip FY,tci,jobs,trips/week,routes,%transit,population
Chicago Transit Authority,HR,2002,181009088,56986546,Chicago,IL,283.0,6.17551691765334,1.31699996270663,3.9,545242,6082,11,0.251,2723878
Northern Indiana Commuter Transportation District,CR,2002,3589227,2850731,Chesterton,IN,1970.0,40.3285716344126,6.1896097550752,0.0,51,3,0,0.01,12198
Northeast Illinois Regional Commuter Railroad Corporation,CR,2002,69354239,29641280,Chicago,IL,3947.0,39.2077654519985,4.63013992990007,3.9,545242,6082,11,0.251,2723878
City of Detroit,LR,2002,25612,14391,Detroit,MI,206.0,29.4703003091418,0.5,1.1,108498,1558,6,0.069,637041
Detroit Transportation Corporation,MG,2002,274948,355936,Detroit,MI,3.0,25.3473784064604,0.372632575757576,1.1,108498,1558,6,0.069,637041
Fort Worth Transportation Authority,CR,2002,843724,160697,Fort Worth,TX,350.0,56.5743144305001,2.77862142457394,0.6,27240,1142,2,0.006,911428
City of Galveston,LR,2002,50865,23709,Galveston,TX,32.0,0.0,0.0,0.9,21664,297,2,0.006,54099
New Orleans Regional Transit Authority,LR,2002,4879932,648236,New Orleans,LA,75.0,3.65882796474662,0.912318803412724,1.4,83640,1666,6,0.06,380408
Dallas Area Rapid Transit,CR,2002,1305409,806659,Dallas,TX,698.0,38.3109353462769,3.15041008208683,1.0,177968,2075,5,0.03,1330798
Dallas Area Rapid Transit,LR,2002,16963173,4435050,Dallas,TX,698.0,11.2416384603209,0.710960046230889,1.0,177968,2075,5,0.03,1330798
Bi-State Development Agency of the Missouri-Illinois Metropolitan District,LR,2002,14943289,5097368,Saint Louis,MO,558.0,14.8942873237702,1.13900328014932,1.5,163458,1809,6,0.071,298018
Utah Transit Authority,LR,2002,9658719,2379377,Salt Lake City,UT,607.0,8.90907591909617,0.93545532170743,1.6,195858,2682,8,0.065,204659
Denver Regional Transportation District,LR,2002,10429571,2976410,Denver,CO,2342.0,12.6675213522257,0.940471374509256,1.7,232676,2264,8,0.062,710800
San Francisco Bay Area Rapid Transit District,HR,2002,95161017,58252346,Oakland,CA,80.0,15.3779959277636,3.69556988818987,3.4,349171,4379,15,0.208,437832
Santa Clara Valley Transportation Authority,LR,2002,6890633,1764608,San Jose,CA,346.0,29.5163682881098,1.1132666008809,1.5,150209,2424,6,0.037,982926
City and County of San Francisco,CC,2002,8822100,476834,San Francisco,CA,49.0,25.3058289865522,6.42869781086248,7.4,596446,9616,20,0.312,851036
City and County of San Francisco,LR,2002,44250530,5812456,San Francisco,CA,49.0,9.26557178268749,0.474917304911107,7.4,596446,9616,20,0.312,851036
Sacramento Regional Transit District,LR,2002,8906500,2113523,Sacramento,CA,291.0,13.5237190844369,1.10618164704963,1.7,131535,1135,9,0.027,516615
North County Transit District,CR,2002,1281144,236604,Oceanside,CA,340.0,57.6572149736482,4.15365800309694,0.9,39508,992,5,0.024,173925
Peninsula Corridor Joint Powers Board,CR,2002,8978675,4955389,San Carlos,CA,425.0,24.6563712009328,6.1793176268048,1.2,144392,837,5,0.051,28846
Southern California Regional Rail Authority,CR,2002,8739364,7844414,Los Angeles,CA,2291.0,10.1767123796882,4.83953992753413,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,HR,2002,36162726,6118641,Los Angeles,CA,4629.0,7.16259817326008,0.411129644838223,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,LR,2002,31425761,6699969,Los Angeles,CA,4629.0,13.5962145433731,0.35972611986719,2.3,424333,4140,10,0.085,3880512
King County,LR,2003,403590,43005,Seattle,WA,2134.0,4.37943651102925,0.553756433168949,4.9,403896,4783,19,0.214,734731
Tri-County Metropolitan Transportation District of Oregon,LR,2003,26427700,3260179,Portland,OR,376.0,9.62637821026598,0.898112266032977,2.6,218492,3517,10,0.109,641885
City of Seattle,MG,2003,2102433,245303,Seattle,WA,83.0,2.96388766717393,2.91086227158419,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,CR,2003,751163,382300,Seattle,WA,1089.0,43.350336123972,2.85082451896653,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,LR,2003,266793,34387,Seattle,WA,1089.0,8.88844042063662,1.21713443748976,4.9,403896,4783,19,0.214,734731
Massachusetts Bay Transportation Authority,CR,2003,40363600,22776778,Boston,MA,3244.0,5.86136718212808,3.16934806354045,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,HR,2003,123939500,19502272,Boston,MA,3244.0,4.49772143324364,1.53271912187322,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,LR,2003,63969600,5782153,Boston,MA,3244.0,5.32054511351991,1.28864486067863,7.1,732061,5983,14,0.306,665942
Connecticut Department of Transportation,CR,2003,385089,589569,Newington,CT,171.0,134.766863514102,6.3168943184721,1.1,0,2451,6,0.013,30458
Niagara Frontier Transportation Authority,LR,2003,5556090,756227,Buffalo,NY,336.0,12.0426570940541,1.30169305631832,2.2,132530,1661,8,0.092,276688
Port Authority Transit Corporation,HR,2003,8863911,4146180,Camden,NJ,16.0,10.8383393711976,2.36238135738868,2.6,375747,2469,1,0.122,71799
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",CR,2003,71079832,49233759,New York,NY,527.0,24.2004341812688,8.41318942191887,8.7,1296548,13960,19,0.544,8621501
New Jersey Transit Corporation,CR,2003,62866315,47830350,Newark,NJ,5325.0,24.4614111990785,7.062002533205,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,CR,2003,1672380,1375420,Newark,NJ,5325.0,6.92825711886404,0.0,4.8,282108,5486,2,0.212,307355
