Agency,Mode,Year,UPT,VRM,city,state,Service Area SQ Miles,Avg Cost Per Trip FY,Avg Fares Per Trip FY,tci,jobs,trips/week,routes,%transit,population
Peninsula Corridor Joint Powers Board,CR,2007,11375781,6383948,San Carlos,CA,425.0,24.6563712009328,6.1793176268048,1.2,144392,837,5,0.051,28846
Southern California Regional Rail Authority,CR,2007,11146838,10302992,Los Angeles,CA,2291.0,75.1559927029295,9.26914373911137,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,HR,2007,42222633,5982636,Los Angeles,CA,4629.0,7.16259817326008,0.411129644838223,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,LR,2007,42221236,8682047,Los Angeles,CA,4629.0,13.5962145433731,0.35972611986719,2.3,424333,4140,10,0.085,3880512
Altamont Corridor Express,CR,2007,752286,172314,Stockton,CA,28.0,76.1868564251061,8.07018364671716,1.3,40460,722,7,0.014,312413
King County,LR,2008,413937,56904,Seattle,WA,2134.0,4.37943651102925,0.553756433168949,4.9,403896,4783,19,0.214,734731
Tri-County Metropolitan Transportation District of Oregon,LR,2008,35772900,6940264,Portland,OR,376.0,9.62637821026598,0.898112266032977,2.6,218492,3517,10,0.109,641885
City of Seattle,MG,2008,1559778,184604,Seattle,WA,83.0,2.96388766717393,2.91086227158419,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,CR,2008,2668623,1039432,Seattle,WA,1089.0,43.350336123972,2.85082451896653,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,LR,2008,930632,94189,Seattle,WA,1089.0,8.88844042063662,1.21713443748976,4.9,403896,4783,19,0.214,734731
Alaska Railroad Corporation,AR,2008,137230,131038,Anchorage,AK,266.0,268.941064790582,160.249505398476,0.4,51758,750,3,0.015,290674
Massachusetts Bay Transportation Authority,CR,2008,39721400,23167917,Boston,MA,3244.0,5.86136718212808,3.16934806354045,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,HR,2008,150408300,21239009,Boston,MA,3244.0,4.49772143324364,1.53271912187322,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,LR,2008,80337200,6201183,Boston,MA,3244.0,5.32054511351991,1.28864486067863,7.1,732061,5983,14,0.306,665942
Connecticut Department of Transportation,CR,2008,538313,693622,Newington,CT,171.0,134.766863514102,6.3168943184721,1.1,0,2451,6,0.013,30458
Northern New England Passenger Rail Authority,CR,2008,357902,1351333,Portland,ME,3706.0,50.9837146900301,20.155367734053,2.2,66841,1506,9,0.026,68352
Niagara Frontier Transportation Authority,LR,2008,6868958,836651,Buffalo,NY,336.0,12.0426570940541,1.30169305631832,2.2,132530,1661,8,0.092,276688
Port Authority Transit Corporation,HR,2008,10337870,4236947,Camden,NJ,16.0,10.8383393711976,2.36238135738868,2.6,375747,2469,1,0.122,71799
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",CR,2008,81466483,58823421,New York,NY,527.0,24.2004341812688,8.41318942191887,8.7,1296548,13960,19,0.544,8621501
New Jersey Transit Corporation,CR,2008,85733467,70336606,Newark,NJ,5325.0,24.4614111990785,7.062002533205,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2008,6316516,617117,Newark,NJ,5325.0,7.28412821419705,0.991414510289936,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2008,15726350,3478324,Newark,NJ,5325.0,8.43414812540122,0.53706361200171,4.8,282108,5486,2,0.212,307355
Port Authority Trans-Hudson Corporation,HR,2008,83654243,12194371,New York,NY,226.0,10.0211749072654,2.43312567162522,8.7,1296548,13960,19,0.544,8621501
Staten Island Rapid Transit Operating Authority,HR,2008,7860630,2371980,New York,NY,59.0,13.5547055701508,0.65299535151799,8.7,1296548,13960,19,0.544,8621501
MTA Long Island Rail Road,CR,2008,100092000,64794193,New York,NY,2967.0,25.4690847358046,6.7864969133796,8.7,1296548,13960,19,0.544,8621501
Cambria County Transit Authority,IP,2008,101247,4010,Johnstown,PA,688.0,30.9261625315703,0.0,3.0,13224,1171,8,0.057,18422
Southeastern Pennsylvania Transportation Authority,CR,2008,36167848,16635257,Philadelphia,PA,844.0,16.5626148935428,3.87438447317185,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,HR,2008,90999511,16588941,Philadelphia,PA,844.0,4.14658442381391,0.879975871572353,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,LR,2008,32453624,3798843,Philadelphia,PA,844.0,2.13287140384607,0.875877392755033,4.6,367544,5229,12,0.23,1593208
Pittsburgh Regional Transit,IP,2008,719785,18017,Pittsburgh,PA,775.0,8.32243848918901,1.14990513484188,3.9,260426,4552,18,0.162,303843
Pittsburgh Regional Transit,IP,2008,422793,18514,Pittsburgh,PA,775.0,0.268088367573201,1.86119018957914,3.9,260426,4552,18,0.162,303843
Pittsburgh Regional Transit,LR,2008,7303281,1960307,Pittsburgh,PA,775.0,24.1981513120049,0.924069629146431,3.9,260426,4552,18,0.162,303843
Washington Metropolitan Area Transit Authority,HR,2008,291492804,73101256,Washington,DC,1108.0,11.7044756343657,1.82543095920609,5.3,545507,7528,20,0.329,670587
Maryland Transit Administration,CR,2008,8068751,1025624,Baltimore,MD,2560.0,46.8836941196747,6.31799225132868,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,HR,2008,13793369,1110820,Baltimore,MD,2560.0,41.2149052300701,0.714463055814179,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,LR,2008,8120776,1453512,Baltimore,MD,2560.0,11.3566060069565,0.714542460583807,3.5,255135,3787,12,0.148,584548
Pennsylvania Department of Transportation,CR,2008,513970,2205323,Harrisburg,PA,2092.0,53.4360662477464,40.8174151158317,3.3,81287,1328,15,0.061,50055
Virginia Railway Express,CR,2008,3806893,1870204,Woodbridge,VA,730.0,62.3666755328218,9.50731594202898,0.7,19953,518,5,0.031,42663
Chattanooga Area Regional Transportation Authority,IP,2008,385743,19059,Chattanooga,TN,289.0,5.01634335401539,6.50138316425865,0.5,29469,462,3,0.016,184149
City of Memphis,LR,2008,1060410,412765,Memphis,TN,254.0,3.58503456731968,0.664690071767021,0.5,45900,501,3,0.01,627640
City of Charlotte North Carolina,LR,2008,4982386,587191,Charlotte,NC,675.0,11.5936234537138,1.3110225736449,0.7,131798,1128,4,0.031,857940
Metropolitan Atlanta Rapid Transit Authority,HR,2008,86029961,24130814,Atlanta,GA,605.0,8.25454242718684,1.43513316791868,1.9,257838,2523,10,0.096,494513
County of Miami-Dade,HR,2008,19117746,6913611,Miami,FL,306.0,10.1509192003321,1.07467174109841,2.7,293807,4935,11,0.084,441830
County of Miami-Dade,MG,2008,8635289,1139489,Miami,FL,306.0,5.83092289121068,0.0,2.7,293807,4935,11,0.084,441830
Jacksonville Transportation Authority,MG,2008,511662,243125,Jacksonville,FL,1807.0,27.434022039947,0.0,0.4,38618,684,3,0.015,952608
Hillsborough Area Regional Transit Authority,LR,2008,455940,80045,Tampa,FL,418.0,5.06449331519108,1.13214625098863,0.7,146486,991,4,0.019,383344
South Florida Regional Transportation Authority,CR,2008,4302215,1043739,Pompano Beach,FL,32.0,32.8519704906211,3.31489171141496,0.6,132676,973,3,0.02,110991
City of Kenosha,LR,2008,65759,19794,Kenosha,WI,27.0,5.35349089819462,0.5,1.3,23740,599,7,0.013,94295
The Greater Cleveland Regional Transit Authority,HR,2008,7890708,1649437,Cleveland,OH,458.0,11.4397876130865,1.1651248638527,1.4,153684,2368,6,0.083,370278
The Greater Cleveland Regional Transit Authority,LR,2008,4144499,796912,Cleveland,OH,458.0,19.6120843420987,1.57179665706609,1.4,153684,2368,6,0.083,370278
Metro Transit,LR,2008,10221683,1969924,Minneapolis,MN,465.0,6.36891965806475,0.888992689225925,2.9,329428,4192,12,0.11,426877
Chicago Transit Authority,HR,2008,198137245,66128063,Chicago,IL,283.0,6.17551691765334,1.31699996270663,3.9,545242,6082,11,0.251,2723878
Northern Indiana Commuter Transportation District,CR,2008,4180380,3485098,Chesterton,IN,1970.0,40.3285716344126,6.1896097550752,0.0,51,3,0,0.01,12198
Northeast Illinois Regional Commuter Railroad Corporation,CR,2008,77167066,34952859,Chicago,IL,3947.0,39.2077654519985,4.63013992990007,3.9,545242,6082,11,0.251,2723878
Detroit Transportation Corporation,MG,2008,2059714,544197,Detroit,MI,3.0,25.3473784064604,0.372632575757576,1.1,108498,1558,6,0.069,637041
Fort Worth Transportation Authority,CR,2008,1163566,646403,Fort Worth,TX,350.0,56.5743144305001,2.77862142457394,0.6,27240,1142,2,0.006,911428
"Metropolitan Transit Authority of Harris County, Texas",LR,2008,11640213,890265,Houston,TX,1309.0,8.5330203699075,0.185331199997191,0.8,184921,1837,4,0.036,2482229
City of Galveston,LR,2008,15739,21145,Galveston,TX,32.0,0.0,0.0,0.9,21664,297,2,0.006,54099
New Orleans Regional Transit Authority,LR,2008,4708139,756815,New Orleans,LA,75.0,3.65882796474662,0.912318803412724,1.4,83640,1666,6,0.06,380408
Rock Region Metropolitan Transit Authority,LR,2008,112578,38381,North Little Rock,AR,111.0,6.91401231852178,0.531705528669893,0.2,32779,302,2,0.014,60050
Dallas Area Rapid Transit,CR,2008,1640283,600572,Dallas,TX,698.0,38.3109353462769,3.15041008208683,1.0,177968,2075,5,0.03,1330798
Dallas Area Rapid Transit,LR,2008,23038555,5216190,Dallas,TX,698.0,11.2416384603209,0.710960046230889,1.0,177968,2075,5,0.03,1330798
Bi-State Development Agency of the Missouri-Illinois Metropolitan District,LR,2008,22658347,6839014,Saint Louis,MO,558.0,14.8942873237702,1.13900328014932,1.5,163458,1809,6,0.071,298018
Utah Transit Authority,CR,2008,1385818,1531190,Salt Lake City,UT,607.0,15.522884317913,1.17655100063694,1.6,195858,2682,8,0.065,204659
Utah Transit Authority,LR,2008,13948710,2995970,Salt Lake City,UT,607.0,8.90907591909617,0.93545532170743,1.6,195858,2682,8,0.065,204659
Denver Regional Transportation District,LR,2008,20635063,8571527,Denver,CO,2342.0,12.6675213522257,0.940471374509256,1.7,232676,2264,8,0.062,710800
San Francisco Bay Area Rapid Transit District,HR,2008,117171225,69203707,Oakland,CA,80.0,15.3779959277636,3.69556988818987,3.4,349171,4379,15,0.208,437832
Santa Clara Valley Transportation Authority,LR,2008,10797985,3385490,San Jose,CA,346.0,29.5163682881098,1.1132666008809,1.5,150209,2424,6,0.037,982926
City and County of San Francisco,CC,2008,7540847,491156,San Francisco,CA,49.0,25.3058289865522,6.42869781086248,7.4,596446,9616,20,0.312,851036
City and County of San Francisco,LR,2008,46377988,4886191,San Francisco,CA,49.0,9.26557178268749,0.474917304911107,7.4,596446,9616,20,0.312,851036
Sacramento Regional Transit District,LR,2008,16868200,4192982,Sacramento,CA,291.0,13.5237190844369,1.10618164704963,1.7,131535,1135,9,0.027,516615
San Diego Metropolitan Transit System,LR,2008,35959745,7967936,San Diego,CA,902.0,3.61431286507528,0.739698579868262,1.2,109389,1941,5,0.037,1384593
North County Transit District,CR,2008,1698960,1347834,Oceanside,CA,340.0,57.6572149736482,4.15365800309694,0.9,39508,992,5,0.024,173925
North County Transit District,LR,2008,1900901,489640,Oceanside,CA,340.0,6.03418212208204,0.980385000377729,0.9,39508,992,5,0.024,173925
Peninsula Corridor Joint Powers Board,CR,2008,12766924,6800681,San Carlos,CA,425.0,24.6563712009328,6.1793176268048,1.2,144392,837,5,0.051,28846
Southern California Regional Rail Authority,CR,2008,12161214,10512542,Los Angeles,CA,2291.0,75.1559927029295,9.26914373911137,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,HR,2008,45457703,6076141,Los Angeles,CA,4629.0,7.16259817326008,0.411129644838223,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,LR,2008,44983267,9038882,Los Angeles,CA,4629.0,13.5962145433731,0.35972611986719,2.3,424333,4140,10,0.085,3880512
Altamont Corridor Express,CR,2008,864617,173582,Stockton,CA,28.0,76.1868564251061,8.07018364671716,1.3,40460,722,7,0.014,312413
King County,LR,2009,451204,60150,Seattle,WA,2134.0,4.37943651102925,0.553756433168949,4.9,403896,4783,19,0.214,734731
Tri-County Metropolitan Transportation District of Oregon,CR,2009,271371,108472,Portland,OR,376.0,20.3965607325261,1.01772535496428,2.6,218492,3517,10,0.109,641885
Tri-County Metropolitan Transportation District of Oregon,LR,2009,35966000,7402173,Portland,OR,376.0,9.62637821026598,0.898112266032977,2.6,218492,3517,10,0.109,641885
City of Seattle,MG,2009,1732301,198884,Seattle,WA,83.0,2.96388766717393,2.91086227158419,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,CR,2009,2492362,1401851,Seattle,WA,1089.0,43.350336123972,2.85082451896653,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,LR,2009,887061,89427,Seattle,WA,1089.0,8.88844042063662,1.21713443748976,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,LR,2009,2501211,1113177,Seattle,WA,1089.0,5.76983565915496,1.53399943627772,4.9,403896,4783,19,0.214,734731
Alaska Railroad Corporation,AR,2009,113767,109062,Anchorage,AK,266.0,268.941064790582,160.249505398476,0.4,51758,750,3,0.015,290674
Massachusetts Bay Transportation Authority,CR,2009,38258800,23727362,Boston,MA,3244.0,20.3345511067069,4.79423270509342,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,HR,2009,145608900,22746253,Boston,MA,3244.0,4.49772143324364,1.53271912187322,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,LR,2009,74091700,6017521,Boston,MA,3244.0,5.32054511351991,1.28864486067863,7.1,732061,5983,14,0.306,665942
Connecticut Department of Transportation,CR,2009,501650,725859,Newington,CT,171.0,134.766863514102,6.3168943184721,1.1,0,2451,6,0.013,30458
Northern New England Passenger Rail Authority,CR,2009,342621,1342882,Portland,ME,3706.0,50.9837146900301,20.155367734053,2.2,66841,1506,9,0.026,68352
Niagara Frontier Transportation Authority,LR,2009,6259921,945623,Buffalo,NY,336.0,12.0426570940541,1.30169305631832,2.2,132530,1661,8,0.092,276688
Port Authority Transit Corporation,HR,2009,10022056,4432520,Camden,NJ,16.0,10.8383393711976,2.36238135738868,2.6,375747,2469,1,0.122,71799
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",CR,2009,77975561,58737736,New York,NY,527.0,24.2004341812688,8.41318942191887,8.7,1296548,13960,19,0.544,8621501
New Jersey Transit Corporation,CR,2009,81950362,68650216,Newark,NJ,5325.0,24.4614111990785,7.062002533205,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2009,5906925,600085,Newark,NJ,5325.0,7.28412821419705,0.991414510289936,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2009,15524146,3399181,Newark,NJ,5325.0,8.43414812540122,0.53706361200171,4.8,282108,5486,2,0.212,307355
Port Authority Trans-Hudson Corporation,HR,2009,80032252,12202951,New York,NY,226.0,10.0211749072654,2.43312567162522,8.7,1296548,13960,19,0.544,8621501
Staten Island Rapid Transit Operating Authority,HR,2009,7218047,2336835,New York,NY,59.0,13.5547055701508,0.65299535151799,8.7,1296548,13960,19,0.544,8621501
MTA Long Island Rail Road,CR,2009,100317136,65360026,New York,NY,2967.0,25.4690847358046,6.7864969133796,8.7,1296548,13960,19,0.544,8621501
Cambria County Transit Authority,IP,2009,94826,3860,Johnstown,PA,688.0,30.9261625315703,0.0,3.0,13224,1171,8,0.057,18422
Southeastern Pennsylvania Transportation Authority,CR,2009,34618900,17239210,Philadelphia,PA,844.0,16.5626148935428,3.87438447317185,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,HR,2009,92360371,16795807,Philadelphia,PA,844.0,4.14658442381391,0.879975871572353,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,LR,2009,28766305,3587965,Philadelphia,PA,844.0,2.13287140384607,0.875877392755033,4.6,367544,5229,12,0.23,1593208
Pittsburgh Regional Transit,IP,2009,702740,18032,Pittsburgh,PA,775.0,8.32243848918901,1.14990513484188,3.9,260426,4552,18,0.162,303843
Pittsburgh Regional Transit,IP,2009,456007,25118,Pittsburgh,PA,775.0,0.268088367573201,1.86119018957914,3.9,260426,4552,18,0.162,303843
Pittsburgh Regional Transit,LR,2009,7149450,1921396,Pittsburgh,PA,775.0,24.1981513120049,0.924069629146431,3.9,260426,4552,18,0.162,303843
Washington Metropolitan Area Transit Authority,HR,2009,293397778,73467168,Washington,DC,1108.0,11.7044756343657,1.82543095920609,5.3,545507,7528,20,0.329,670587
Maryland Transit Administration,CR,2009,8090250,968919,Baltimore,MD,2560.0,46.8836941196747,6.31799225132868,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,HR,2009,13232287,1081394,Baltimore,MD,2560.0,41.2149052300701,0.714463055814179,3.5,255135,3787,12,0.148,584548
Maryland Transit Administration,LR,2009,8981152,1639911,Baltimore,MD,2560.0,11.3566060069565,0.714542460583807,3.5,255135,3787,12,0.148,584548
Pennsylvania Department of Transportation,CR,2009,513043,2179186,Harrisburg,PA,2092.0,53.4360662477464,40.8174151158317,3.3,81287,1328,15,0.061,50055
Virginia Railway Express,CR,2009,3901072,1857568,Woodbridge,VA,730.0,62.3666755328218,9.50731594202898,0.7,19953,518,5,0.031,42663
Chattanooga Area Regional Transportation Authority,IP,2009,368973,13330,Chattanooga,TN,289.0,5.01634335401539,6.50138316425865,0.5,29469,462,3,0.016,184149
City of Memphis,LR,2009,1158904,362410,Memphis,TN,254.0,3.58503456731968,0.664690071767021,0.5,45900,501,3,0.01,627640
City of Charlotte North Carolina,LR,2009,4741805,527350,Charlotte,NC,675.0,11.5936234537138,1.3110225736449,0.7,131798,1128,4,0.031,857940
Metropolitan Atlanta Rapid Transit Authority,HR,2009,79133102,23605134,Atlanta,GA,605.0,8.25454242718684,1.43513316791868,1.9,257838,2523,10,0.096,494513
County of Miami-Dade,HR,2009,17791858,6649546,Miami,FL,306.0,10.1509192003321,1.07467174109841,2.7,293807,4935,11,0.084,441830
County of Miami-Dade,MG,2009,7986150,1225087,Miami,FL,306.0,5.83092289121068,0.0,2.7,293807,4935,11,0.084,441830
Jacksonville Transportation Authority,MG,2009,427312,185566,Jacksonville,FL,1807.0,27.434022039947,0.0,0.4,38618,684,3,0.015,952608
Hillsborough Area Regional Transit Authority,LR,2009,466536,73114,Tampa,FL,418.0,5.06449331519108,1.13214625098863,0.7,146486,991,4,0.019,383344
South Florida Regional Transportation Authority,CR,2009,3789973,1043093,Pompano Beach,FL,32.0,32.8519704906211,3.31489171141496,0.6,132676,973,3,0.02,110991
City of Kenosha,LR,2009,33104,13547,Kenosha,WI,27.0,5.35349089819462,0.5,1.3,23740,599,7,0.013,94295
The Greater Cleveland Regional Transit Authority,HR,2009,5142555,1547195,Cleveland,OH,458.0,11.4397876130865,1.1651248638527,1.4,153684,2368,6,0.083,370278
The Greater Cleveland Regional Transit Authority,LR,2009,3091274,745837,Cleveland,OH,458.0,19.6120843420987,1.57179665706609,1.4,153684,2368,6,0.083,370278
Metro Transit,CR,2009,82282,76200,Minneapolis,MN,465.0,119.260453400504,3.326880172724,2.9,329428,4192,12,0.11,426877
Metro Transit,LR,2009,9863042,1953510,Minneapolis,MN,465.0,6.36891965806475,0.888992689225925,2.9,329428,4192,12,0.11,426877
Chicago Transit Authority,HR,2009,202569039,67576118,Chicago,IL,283.0,6.17551691765334,1.31699996270663,3.9,545242,6082,11,0.251,2723878
Northern Indiana Commuter Transportation District,CR,2009,3885073,3465585,Chesterton,IN,1970.0,40.3285716344126,6.1896097550752,0.0,51,3,0,0.01,12198
Northeast Illinois Regional Commuter Railroad Corporation,CR,2009,71552171,33792610,Chicago,IL,3947.0,39.2077654519985,4.63013992990007,3.9,545242,6082,11,0.251,2723878
Detroit Transportation Corporation,MG,2009,2161436,559763,Detroit,MI,3.0,25.3473784064604,0.372632575757576,1.1,108498,1558,6,0.069,637041
Fort Worth Transportation Authority,CR,2009,1103071,668942,Fort Worth,TX,350.0,56.5743144305001,2.77862142457394,0.6,27240,1142,2,0.006,911428
"Metropolitan Transit Authority of Harris County, Texas",LR,2009,11364633,914127,Houston,TX,1309.0,8.5330203699075,0.185331199997191,0.8,184921,1837,4,0.036,2482229
New Orleans Regional Transit Authority,LR,2009,4715163,816890,New Orleans,LA,75.0,3.65882796474662,0.912318803412724,1.4,83640,1666,6,0.06,380408
Rock Region Metropolitan Transit Authority,LR,2009,120057,37696,North Little Rock,AR,111.0,6.91401231852178,0.531705528669893,0.2,32779,302,2,0.014,60050
Dallas Area Rapid Transit,CR,2009,1582280,852284,Dallas,TX,698.0,38.3109353462769,3.15041008208683,1.0,177968,2075,5,0.03,1330798
Dallas Area Rapid Transit,LR,2009,21903625,5067245,Dallas,TX,698.0,11.2416384603209,0.710960046230889,1.0,177968,2075,5,0.03,1330798
Rio Metro Regional Transit District,CR,2009,1351087,813885,Albuquerque,NM,990.0,81.2984895831425,1.71456125375956,0.5,68453,640,3,0.015,543444
Bi-State Development Agency of the Missouri-Illinois Metropolitan District,LR,2009,18136118,6225627,Saint Louis,MO,558.0,14.8942873237702,1.13900328014932,1.5,163458,1809,6,0.071,298018
Utah Transit Authority,CR,2009,1336981,2286832,Salt Lake City,UT,607.0,15.522884317913,1.17655100063694,1.6,195858,2682,8,0.065,204659
Utah Transit Authority,LR,2009,13165613,3064528,Salt Lake City,UT,607.0,8.90907591909617,0.93545532170743,1.6,195858,2682,8,0.065,204659
Denver Regional Transportation District,LR,2009,19759390,8196876,Denver,CO,2342.0,12.6675213522257,0.940471374509256,1.7,232676,2264,8,0.062,710800
San Francisco Bay Area Rapid Transit District,HR,2009,110422203,65686197,Oakland,CA,80.0,15.3779959277636,3.69556988818987,3.4,349171,4379,15,0.208,437832
Santa Clara Valley Transportation Authority,LR,2009,10127339,3223285,San Jose,CA,346.0,29.5163682881098,1.1132666008809,1.5,150209,2424,6,0.037,982926
City and County of San Francisco,CC,2009,8325322,491557,San Francisco,CA,49.0,25.3058289865522,6.42869781086248,7.4,596446,9616,20,0.312,851036
City and County of San Francisco,LR,2009,52163250,4403113,San Francisco,CA,49.0,9.26557178268749,0.474917304911107,7.4,596446,9616,20,0.312,851036
Sacramento Regional Transit District,LR,2009,16769900,4189573,Sacramento,CA,291.0,13.5237190844369,1.10618164704963,1.7,131535,1135,9,0.027,516615
San Diego Metropolitan Transit System,LR,2009,31337495,7847159,San Diego,CA,902.0,3.61431286507528,0.739698579868262,1.2,109389,1941,5,0.037,1384593
North County Transit District,CR,2009,1308427,1267344,Oceanside,CA,340.0,57.6572149736482,4.15365800309694,0.9,39508,992,5,0.024,173925
North County Transit District,LR,2009,2104536,551414,Oceanside,CA,340.0,6.03418212208204,0.980385000377729,0.9,39508,992,5,0.024,173925
Peninsula Corridor Joint Powers Board,CR,2009,11996796,6779747,San Carlos,CA,425.0,24.6563712009328,6.1793176268048,1.2,144392,837,5,0.051,28846
Southern California Regional Rail Authority,CR,2009,11020202,10759449,Los Angeles,CA,2291.0,75.1559927029295,9.26914373911137,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,HR,2009,47453332,5968366,Los Angeles,CA,4629.0,7.16259817326008,0.411129644838223,2.3,424333,4140,10,0.085,3880512
Los Angeles County Metropolitan Transportation Authority,LR,2009,45087245,9170850,Los Angeles,CA,4629.0,13.5962145433731,0.35972611986719,2.3,424333,4140,10,0.085,3880512
Altamont Corridor Express,CR,2009,682719,173014,Stockton,CA,28.0,76.1868564251061,8.07018364671716,1.3,40460,722,7,0.014,312413
"Valley Metro Rail, Inc.",LR,2009,11348341,2671532,Phoenix,AZ,47.0,6.5811597153633,0.726788943577767,0.7,166824,1472,4,0.026,1596596
King County,LR,2010,520932,59964,Seattle,WA,2134.0,4.37943651102925,0.553756433168949,4.9,403896,4783,19,0.214,734731
Tri-County Metropolitan Transportation District of Oregon,CR,2010,330753,147731,Portland,OR,376.0,20.3965607325261,1.01772535496428,2.6,218492,3517,10,0.109,641885
Tri-County Metropolitan Transportation District of Oregon,LR,2010,44239796,8229486,Portland,OR,376.0,9.62637821026598,0.898112266032977,2.6,218492,3517,10,0.109,641885
City of Seattle,MG,2010,1789137,201756,Seattle,WA,83.0,2.96388766717393,2.91086227158419,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,CR,2010,2364292,1506992,Seattle,WA,1089.0,43.350336123972,2.85082451896653,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,LR,2010,869076,90195,Seattle,WA,1089.0,8.88844042063662,1.21713443748976,4.9,403896,4783,19,0.214,734731
Central Puget Sound Regional Transit Authority,LR,2010,7001302,2602137,Seattle,WA,1089.0,5.76983565915496,1.53399943627772,4.9,403896,4783,19,0.214,734731
Alaska Railroad Corporation,AR,2010,107550,92956,Anchorage,AK,266.0,268.941064790582,160.249505398476,0.4,51758,750,3,0.015,290674
Massachusetts Bay Transportation Authority,CR,2010,35866269,24147703,Boston,MA,3244.0,20.3345511067069,4.79423270509342,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,HR,2010,146123747,23395923,Boston,MA,3244.0,4.49772143324364,1.53271912187322,7.1,732061,5983,14,0.306,665942
Massachusetts Bay Transportation Authority,LR,2010,66293332,5996735,Boston,MA,3244.0,5.32054511351991,1.28864486067863,7.1,732061,5983,14,0.306,665942
Connecticut Department of Transportation,CR,2010,588176,1006152,Newington,CT,171.0,134.766863514102,6.3168943184721,1.1,0,2451,6,0.013,30458
Northern New England Passenger Rail Authority,CR,2010,488042,1836272,Portland,ME,3706.0,50.9837146900301,20.155367734053,2.2,66841,1506,9,0.026,68352
Niagara Frontier Transportation Authority,LR,2010,5990778,930993,Buffalo,NY,336.0,12.0426570940541,1.30169305631832,2.2,132530,1661,8,0.092,276688
Port Authority Transit Corporation,HR,2010,10108981,4383394,Camden,NJ,16.0,10.8383393711976,2.36238135738868,2.6,375747,2469,1,0.122,71799
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",CR,2010,79210948,57808979,New York,NY,527.0,24.2004341812688,8.41318942191887,8.7,1296548,13960,19,0.544,8621501
New Jersey Transit Corporation,CR,2010,80850981,63545930,Newark,NJ,5325.0,24.4614111990785,7.062002533205,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2010,5700693,526494,Newark,NJ,5325.0,7.28412821419705,0.991414510289936,4.8,282108,5486,2,0.212,307355
New Jersey Transit Corporation,LR,2010,15197569,3239308,Newark,NJ,5325.0,8.43414812540122,0.53706361200171,4.8,282108,5486,2,0.212,307355
Port Authority Trans-Hudson Corporation,HR,2010,82884484,12294698,New York,NY,226.0,10.0211749072654,2.43312567162522,8.7,1296548,13960,19,0.544,8621501
Staten Island Rapid Transit Operating Authority,HR,2010,7635883,2324814,New York,NY,59.0,13.5547055701508,0.65299535151799,8.7,1296548,13960,19,0.544,8621501
MTA Long Island Rail Road,CR,2010,97839995,64090537,New York,NY,2967.0,25.4690847358046,6.7864969133796,8.7,1296548,13960,19,0.544,8621501
Cambria County Transit Authority,IP,2010,84635,3748,Johnstown,PA,688.0,30.9261625315703,0.0,3.0,13224,1171,8,0.057,18422
Southeastern Pennsylvania Transportation Authority,CR,2010,35529079,17920641,Philadelphia,PA,844.0,16.5626148935428,3.87438447317185,4.6,367544,5229,12,0.23,1593208
Southeastern Pennsylvania Transportation Authority,HR,2010,96566787,17373502,Philadelphia,PA,844.0,4.14658442381391,0.879975871572353,4.6,367544,5229,12,0.23,1593208
